Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,
01-01-2020 22:00,01-01-2020 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,
01-01-2020 23:00,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,
01-02-2020 00:00,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,
01-02-2020 01:00,02-01-2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,
01-02-2020 02:00,02-01-2020 04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,
01-02-2020 03:00,02-01-2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,None,Other Crime,7,No,
01-02-2020 04:00,02-01-2020 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,
01-02-2020 05:00,02-01-2020 09:35,Bhopal,517,BURGLARY,37,F,None,Other Crime,4,No,
01-02-2020 06:00,02-01-2020 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,
01-02-2020 07:00,02-01-2020 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,
01-02-2020 08:00,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,
01-02-2020 09:00,03-01-2020 02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,
01-02-2020 10:00,02-01-2020 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,
01-02-2020 11:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,
01-02-2020 12:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,
01-02-2020 13:00,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,
01-02-2020 14:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,None,Violent Crime,13,Yes,
01-02-2020 15:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,
01-02-2020 16:00,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,
01-02-2020 17:00,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,
01-02-2020 18:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,
01-02-2020 19:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,
01-02-2020 20:00,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,
01-02-2020 21:00,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,
01-02-2020 22:00,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,None,Violent Crime,9,No,
01-02-2020 23:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,
01-03-2020 00:00,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,
01-03-2020 01:00,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,
01-03-2020 02:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,
01-03-2020 03:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,
01-03-2020 04:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,
01-03-2020 05:00,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,
01-03-2020 06:00,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,
01-03-2020 07:00,03-01-2020 11:11,Meerut,596,BURGLARY,49,F,None,Other Crime,19,No,
01-03-2020 08:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,
01-03-2020 09:00,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70,F,None,Violent Crime,15,No,
01-03-2020 10:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,
01-03-2020 11:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,
01-03-2020 12:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,
01-03-2020 13:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,
01-03-2020 14:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,
01-03-2020 15:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,
01-03-2020 16:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,
01-03-2020 17:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,
01-03-2020 18:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,None,Other Crime,6,No,
01-03-2020 19:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,
01-03-2020 20:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,
01-03-2020 21:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,
01-03-2020 22:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,
01-03-2020 23:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,
01-04-2020 00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,
01-04-2020 01:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,
01-04-2020 02:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,
01-04-2020 03:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,
01-04-2020 04:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,
01-04-2020 05:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,
01-04-2020 06:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,
01-04-2020 07:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,Violent Crime,15,Yes,
01-04-2020 08:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,
01-04-2020 09:00,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,
01-04-2020 10:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,
01-04-2020 11:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,
01-04-2020 12:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,
01-04-2020 13:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,
01-04-2020 14:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,
01-04-2020 15:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,
01-04-2020 16:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,
01-04-2020 17:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,
01-04-2020 18:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,
01-04-2020 19:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,7,No,
01-04-2020 20:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,None,Other Crime,13,Yes,
01-04-2020 21:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,
01-04-2020 22:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,
01-04-2020 23:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,
01-05-2020 00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,
01-05-2020 01:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,
01-05-2020 02:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,
01-05-2020 03:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,
01-05-2020 04:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,
01-05-2020 05:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,
01-05-2020 06:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,
01-05-2020 07:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,
01-05-2020 08:00,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,
01-05-2020 09:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,12,Yes,
01-05-2020 10:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,
01-05-2020 11:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,
01-05-2020 12:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,
01-05-2020 13:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,
01-05-2020 14:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,
01-05-2020 15:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,No,
01-05-2020 16:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,
01-05-2020 17:00,06-01-2020 06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,
01-05-2020 18:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,
01-05-2020 19:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,
01-05-2020 20:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,
01-05-2020 21:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,
01-05-2020 22:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,
01-05-2020 23:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,3,Yes,
01-06-2020 00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,
01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,
01-06-2020 02:00,07-01-2020 00:00,Bhopal,432,VANDALISM,60,F,None,Other Crime,4,No,
01-06-2020 03:00,06-01-2020 06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,
01-06-2020 04:00,06-01-2020 19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,
01-06-2020 05:00,06-01-2020 05:15,Pune,127,ASSAULT,62,F,None,Violent Crime,10,No,
01-06-2020 06:00,07-01-2020 00:44,Surat,117,FIREARM OFFENSE,42,F,None,Fire Accident,8,No,
01-06-2020 07:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,
01-06-2020 08:00,06-01-2020 12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,
01-06-2020 09:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,
01-06-2020 10:00,06-01-2020 19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,
01-06-2020 11:00,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,
01-06-2020 12:00,06-01-2020 19:17,Bangalore,309,HOMICIDE,18,M,None,Other Crime,2,No,
01-06-2020 13:00,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,
01-06-2020 14:00,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,
01-06-2020 15:00,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,
01-06-2020 16:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,
01-06-2020 17:00,06-01-2020 20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,
01-06-2020 18:00,07-01-2020 07:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,
01-06-2020 19:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,
01-06-2020 20:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,
01-06-2020 21:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,
01-06-2020 22:00,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,No,
01-06-2020 23:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,
01-07-2020 00:00,07-01-2020 03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,
01-07-2020 01:00,07-01-2020 16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,
01-07-2020 02:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,
01-07-2020 03:00,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,
01-07-2020 04:00,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41,F,None,Violent Crime,5,Yes,
01-07-2020 05:00,07-01-2020 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,
01-07-2020 06:00,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,
01-07-2020 07:00,07-01-2020 16:17,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,No,
01-07-2020 08:00,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,
01-07-2020 09:00,07-01-2020 19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,
01-07-2020 10:00,07-01-2020 19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,
01-07-2020 11:00,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,
01-07-2020 12:00,07-01-2020 13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,
01-07-2020 13:00,08-01-2020 03:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,
01-07-2020 14:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,
01-07-2020 15:00,08-01-2020 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,
01-07-2020 16:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,
01-07-2020 17:00,07-01-2020 17:22,Surat,420,CYBERCRIME,17,F,None,Other Crime,12,No,
01-07-2020 18:00,08-01-2020 09:50,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,
01-07-2020 19:00,08-01-2020 02:04,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,
01-07-2020 20:00,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,
01-07-2020 21:00,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,
01-07-2020 22:00,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,
01-07-2020 23:00,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,
01-08-2020 00:00,08-01-2020 00:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,
01-08-2020 01:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,
01-08-2020 02:00,08-01-2020 18:43,Agra,352,COUNTERFEITING,24,M,None,Other Crime,14,Yes,
01-08-2020 03:00,09-01-2020 01:57,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,
01-08-2020 04:00,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,
01-08-2020 05:00,09-01-2020 01:34,Indore,438,DRUG OFFENSE,40,F,None,Other Crime,7,No,
01-08-2020 06:00,08-01-2020 10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,
01-08-2020 07:00,08-01-2020 22:06,Lucknow,292,BURGLARY,66,F,None,Other Crime,14,Yes,
01-08-2020 08:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,
01-08-2020 09:00,08-01-2020 16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,11,No,
01-08-2020 10:00,09-01-2020 07:31,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,
01-08-2020 11:00,09-01-2020 02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,
01-08-2020 12:00,09-01-2020 07:34,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,
01-08-2020 13:00,09-01-2020 12:16,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,
01-08-2020 14:00,08-01-2020 17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,
01-08-2020 15:00,08-01-2020 23:28,Hyderabad,422,SEXUAL ASSAULT,27,F,None,Violent Crime,4,No,
01-08-2020 16:00,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,
01-08-2020 17:00,09-01-2020 08:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,
01-08-2020 18:00,09-01-2020 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,
01-08-2020 19:00,09-01-2020 18:53,Nagpur,236,IDENTITY THEFT,66,F,None,Violent Crime,14,Yes,
01-08-2020 20:00,09-01-2020 03:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,
01-08-2020 21:00,08-01-2020 21:24,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,
01-08-2020 22:00,09-01-2020 15:53,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,
01-08-2020 23:00,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,
01-09-2020 00:00,09-01-2020 05:28,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,Other Crime,3,No,
01-09-2020 01:00,09-01-2020 04:00,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,Violent Crime,12,Yes,
01-09-2020 02:00,09-01-2020 08:16,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,No,
01-09-2020 03:00,10-01-2020 00:18,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,Yes,
01-09-2020 04:00,09-01-2020 15:55,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,Yes,
01-09-2020 05:00,09-01-2020 10:20,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,
01-09-2020 06:00,09-01-2020 21:01,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,No,
01-09-2020 07:00,10-01-2020 02:06,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,No,
01-09-2020 08:00,10-01-2020 04:27,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,Yes,
01-09-2020 09:00,09-01-2020 18:52,Nagpur,484,FRAUD,63,M,Explosives,Other Crime,13,No,
01-09-2020 10:00,09-01-2020 12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,
01-09-2020 11:00,09-01-2020 13:00,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,Yes,
01-09-2020 12:00,10-01-2020 02:34,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,Yes,
01-09-2020 13:00,09-01-2020 23:51,Thane,246,VEHICLE - STOLEN,44,F,None,Violent Crime,7,Yes,
01-09-2020 14:00,10-01-2020 12:37,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,
01-09-2020 15:00,09-01-2020 20:15,Patna,542,ASSAULT,59,M,None,Violent Crime,2,No,
01-09-2020 16:00,09-01-2020 17:29,Hyderabad,257,EXTORTION,41,F,Explosives,Other Crime,17,No,
01-09-2020 17:00,10-01-2020 06:07,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,18,Yes,
01-09-2020 18:00,09-01-2020 20:05,Bhopal,148,COUNTERFEITING,15,M,Explosives,Other Crime,6,No,
01-09-2020 19:00,10-01-2020 14:15,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,17,No,
01-09-2020 20:00,10-01-2020 07:00,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,6,Yes,
01-09-2020 21:00,10-01-2020 02:45,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,
01-09-2020 22:00,10-01-2020 00:56,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,Yes,
01-09-2020 23:00,10-01-2020 09:23,Ahmedabad,163,SHOPLIFTING,14,F,Knife,Other Crime,18,No,
01-10-2020 00:00,10-01-2020 05:32,Kolkata,572,COUNTERFEITING,73,M,None,Other Crime,2,Yes,
01-10-2020 01:00,10-01-2020 23:36,Surat,561,FRAUD,49,F,Other,Other Crime,18,No,
01-10-2020 02:00,10-01-2020 08:44,Pune,336,TRAFFIC VIOLATION,61,M,Other,Traffic Fatality,10,No,
01-10-2020 03:00,10-01-2020 17:27,Nagpur,563,BURGLARY,68,F,Knife,Other Crime,18,No,
01-10-2020 04:00,11-01-2020 03:16,Kolkata,218,VEHICLE - STOLEN,24,F,None,Violent Crime,1,Yes,
01-10-2020 05:00,10-01-2020 05:29,Ludhiana,276,KIDNAPPING,69,F,Poison,Other Crime,7,Yes,
01-10-2020 06:00,10-01-2020 19:37,Bangalore,570,FRAUD,55,F,Poison,Other Crime,11,No,
01-10-2020 07:00,10-01-2020 23:31,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,19,Yes,
01-10-2020 08:00,11-01-2020 00:10,Bangalore,153,CYBERCRIME,40,F,Firearm,Other Crime,5,Yes,
01-10-2020 09:00,10-01-2020 15:46,Surat,340,HOMICIDE,51,F,Explosives,Other Crime,8,No,
01-10-2020 10:00,10-01-2020 23:35,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,15,Yes,
01-10-2020 11:00,11-01-2020 01:56,Pune,269,COUNTERFEITING,65,F,Blunt Object,Other Crime,6,No,
